Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
......,,1.000000,1.000000,1.000000
먼지만 보면 짜증나.,see at the junk be annoy,0.610924,0.687953,0.798913
청소 다시 하겠습니다.,I will clean again,0.432270,0.669265,0.834223
청소는 나중에 하고 ... 이거부터 좀 버렸으면 좋겠는데.,Ill act the cleansing subsequently I hope Ive shed off this I,0.562933,0.622465,0.764912
이거는 ...  포르말리인데 ...,This exist formaly,0.663781,0.638130,0.689399
정확히 ‘포름알데히드’ 죠. 더 정확하게 말하면 ‘먼지낀 포름알데히드’,Its exactlyformaldehyde To equal more precisedusty formaldehyde,0.560558,0.664680,0.781690
...,,1.000000,1.000000,1.000000
짜증나. 죄다 싱크대에 갖다 부어버려.,its gravel set up it all in the sink and teem it,0.614229,0.667384,0.726191
예?,Yes,0.701027,0.952860,0.693569
전부 폐기처분 하라구요.,Dispose of them all,0.551630,0.566555,0.828188
아니 저 그게 아니라 ... 이건 독국물이라서 규정상 ...,No its not that because its poisonous,0.527688,0.662255,0.827321
그냥 하수구에 부으면 돼요.,just now swarm it into the sewerage,0.594908,0.606233,0.768463
하수구에 버리면 한강으루 흘러들어갑니다.,If you throw it in the gutter it feed into the Han River,0.585783,0.614729,0.774052
그래요. 한강에다 버리자구.,Yes allow cast it off the Han River,0.636830,0.636830,0.721608
"이건 암을 유발하구, 임신 장애두 일으키는 독극물 ...",Its a cancercausing poison upset that do gestation disorders,0.627349,0.627349,0.739238
한강 크잖아. 태평양에 오줌 한 번 눴다구 바닷물이 노래지나?,The Han dynasty River is large Have you relieve oneself formerly in the Pacific sea,0.594205,0.582587,0.723666
......,,1.000000,1.000000,1.000000
명령대로 해요.,Do it as rank,0.489691,0.624277,0.839154
... 뭐야 이게 ? ,what embody this,0.457638,0.632831,0.799480
상당히 찝찝하게 생겼네 ...,It search pretty stiff,0.484008,0.713221,0.847831
"... 그야말루 돌연변이다, 돌연변이 ...",its a mutant a mutation,0.493950,0.692843,0.810008
죽은건가 ?,be it dead,0.628494,0.772352,0.758224
아까 보니깐 쪼금 움직이는거 같던데 ...,As I take in before it look to be go a short,0.559886,0.591439,0.769958
"어, 컵 !",Uh cup,0.858579,0.858579,0.753068
뭐였냐 그거 ? 어우 씨 재수없어 ...,What be that scream I pitch be luck,0.600865,0.639908,0.738285
와 - 큰일날 뻔 했다 ... 딸내미가 사준 컵인데 ...,WowI near get a large Clarence Day The cup my girl bribe me,0.637944,0.637944,0.720221
... 애가 벌써 뭘 사줘 ? 혜원이가 올해 여섯 살 아닌가 ?,What act he already buy Isnt Hyewon six years old this class,0.592533,0.592533,0.740234
개가 올해부터 내 생일을 챙긴다니까 ! 참 나 ...,domestic dog aim aid of my birthday from this class what the,0.593888,0.602899,0.716222
... 무야 저거 ?,What is that,0.721175,0.721175,0.714183
왜 ?,Why,0.776393,0.776393,0.843826
세상에 ...,Oh my gosh,0.549308,0.549308,0.729171
진짜 엽기다 엽기 ... 꼭 저따우 짓을 해야만 장가를 가는거냐 ?,Its genuinely bizarre,0.386250,0.616619,0.895300
"왜 ? 좋구만 ... 찍을땐 저래두, 사진 나온거 보면 멋있다니까.",Why Its good but when you look at a characterization its nice to see film,0.609668,0.648160,0.757081
저런건 사진이 아니라 똥이야 똥 ! 네모난 똥 !,Its not a pictorial matter its shit shit lame shit,0.591823,0.616689,0.751748
엄마야 !,mommy,0.417727,0.464313,0.788582
왜 그래 ?,What represent it,0.494063,0.685844,0.847008
방금 발등 위로 뭐가 지나갔어 ...,What merely communicate over the instep,0.627709,0.627709,0.735002
여기 뱀있나봐 !,facial expression like a snake here,0.399961,0.659743,0.816657
지금 그 포즈 좋습니다 !  알아서들 잘하네 ...,I urge that perplex today Youre good at it,0.610231,0.619620,0.804628
"야, 뱀은 무슨 ... 한강변에 ...",Hey whats the serpent on the Han River,0.533146,0.609223,0.727574
