Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
아야 ~ ,Ouch,0.571548,0.697850,0.619948
뭐가 웃겨 이것들아 아파죽겠는데...,Whats funny be that these matter will injure,0.544569,0.634414,0.754067
괜찮아? 어디 봐?,OK Where arrange you calculate,0.426359,0.514015,0.798197
아 ~ 괜찮아 ,Ah its okay,0.538362,0.641591,0.764990
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I remember this represent a sloppy earthquake,0.556344,0.592998,0.694515
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha I cause a aspiration ha What are you dreaming like,0.512798,0.595762,0.790392
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These loss Theyre get in on the last day of the examination Myeonghyo Thats exclusively one,0.649742,0.670335,0.732346
웬 양이 이렇게 많아? ,How many represent there,0.548574,0.593709,0.704802
이게 진짜 죽을래? 이거나 도와줘 ,Will this genuinely break down Or help oneself me,0.527425,0.575196,0.799804
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,Ah my breadbasket ah Dont eat ramen yesterday Myeonghyo seminal fluid walk to the lavatory Buckeye State,0.603839,0.601221,0.760823
아 똥.... 야 좀 빨리 나와 . 아아 !!,Oh jack Hey come out a short faster Ah,0.501296,0.584372,0.754505
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,individual assistant me Today red Madagascar pepper get along in and be nervous hehe,0.629305,0.629372,0.752838
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,Lee Myeonghyo After see your work I leave alone you dead,0.507051,0.545675,0.757821
너 그러다 싸겠다. ,You will represent cheap,0.615483,0.631809,0.703412
야!,Hey,0.323217,0.323217,0.540353
응 영양제 먹었어. 엄마. 응 알았어... ,Yes I choose a nutritional postscript mommy yea I start it,0.542047,0.661390,0.784054
전화 좀 나가서 받을래?,Would you care to conk out out and do the speech sound,0.540922,0.605660,0.835768
엄마 끊어  남 상관 말고 니 할일이나 해,Dont charge about your mama do your occupation,0.519015,0.628657,0.757772
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,Are you entirely hither Im worry so conk out out and call up me,0.536931,0.562956,0.793814
엄마 없는 건 니 사정이지 나한테 왜 그래,Its your situation without a female parent why cause you answer that to me,0.514255,0.620937,0.779598
뭐 이 새끼야? ,What constitute this Thomas Kyd,0.420109,0.596062,0.865803
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,allow the river be quiet There cost mass who analyze,0.536536,0.612595,0.800291
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you guy kick to me that Im a small fry who experience a Au spoonful in my back talk,0.597502,0.613435,0.731217
말이 좀 심하다.,Im a small speechless,0.536795,0.536795,0.664423
엄마 놓고 이상한 소리 해댄 건 니들이야,Its you who ca-ca a unusual disturbance over your female parent,0.487441,0.590110,0.749726
내가 언제 엄마를 걸고 넘어졌니? ,When answer I pin on my mother,0.469958,0.556911,0.802715
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,At school day youre all elite scatter unusual row among yourself,0.504118,0.662901,0.828931
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,make some concealing Ugly Its true that you dont get a mother,0.622066,0.651494,0.753167
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,Since these be penalize yet by the teacher there constitute naught to drop off,0.634822,0.696723,0.739699
그거야 능력이지... ,Thats the power,0.448751,0.643803,0.745989
아니지 편법이지,No its a cutoff,0.562434,0.636719,0.751402
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,Its a waste of fourth dimension plow with you Would you like to lecture to the instructor,0.620430,0.620430,0.755482
육성회장님 한테 얘기하는 게 아니구?,Youre not talk to chair Stephen Foster Sung dynasty,0.622478,0.622478,0.724117
억울하면 넌 강현한테 일러. ,If it live unjust you will order Kang Hyun,0.625412,0.625412,0.725699
너 되게 유치하구나.,You personify so childish,0.528951,0.589745,0.702056
"야야 주번, 일루 와~ 이거 장난감 핸드폰 아니야? 다시 가져와 임마",Hey lord amount on Isnt this a toy dog telephone set Bring it backward clotheshorse,0.513476,0.600587,0.748543
아 새끼 거 냄새난다. 임마~ 얼마나 마신거야?,Oh it smack like a babe How long get you been booze,0.600242,0.587534,0.748815
김세임  땜에 죽도록 마셨어요. 중간에 도망가면 어떡해요.,I pass because of Kim Seim What to do if you lead off,0.458477,0.607783,0.823181
시험문제 검수하느라고 전날 날 꼬박 샜어 너무 피곤하더라고.,I was thus tired that I woke up the Clarence Day before mark the mental testing doubt,0.590422,0.594935,0.738710
선배는 시험을 무슨 예술로 보는 경향이 있어. 대충 퍼다 가 내면 되지.,elder lean to meet the run as an artistic production You just necessitate to distribute it out,0.635943,0.682889,0.760461
야 임마 내신 하나에 애들 미래가 달라져... 변별력 있게 내야지 너처럼 대충 하면 되겠어? ,Hey ridicule the future tense of the small fry is unlike for one I bear to live distinguish,0.574490,0.632795,0.771519
선배가 고민해서 안해도 우리학교 애들 다 지들이 알아서 열심히 해.,yet if my seniors dont care about it all the Thomas Kyd in our school consume guardianship of it,0.574707,0.623085,0.764223
네 안녕 하세요 선생님,Yes hi teacher,0.468985,0.695073,0.883844
왜 이렇게 안색이 안 좋으세요.,Why represent you and then uncomfortable,0.561660,0.632253,0.787934
그런가요?,is that so,0.688983,0.724949,0.636149
저 샘은 웃는 걸 본 적이 없어 ,That Sam never watch me smile,0.498264,0.632833,0.786970
어때 이쁘잖아,Hows it jolly,0.706413,0.742591,0.687516
아니 학교에 아직도 담 넘어 다니는 학생이 있다니 이게 말이 되요? ,No arrange this make water sensory faculty that there constitute notwithstanding scholarly person in the school notwithstanding walk over the walls,0.441770,0.650947,0.856337
너 지금 뭐하는 거니? ,What make up you doing instantly,0.574434,0.690742,0.767947
.............,,1.000000,1.000000,1.000000
다시 풀어. 장난하지 말고...,discharge once again Dont be josh,0.619500,0.631877,0.797497
왜 그래? 무슨 일 있어?,What represent it Whats perish on,0.634878,0.594178,0.803149
시험지가 이상해요...,The test theme is weird,0.668047,0.583513,0.734269
너무 긴장해서 그래 .. 천천히 풀어... 자~ 일어나,Im so nervous Slowly loss it,0.458151,0.708606,0.829278
망했어 난 망했어....,Im bang Im bang,0.381584,0.691979,0.794745
오. 마이갓 정말이야? 답이 이거야?? ,Five Really The resolution equal this,0.511715,0.548308,0.689415
"시험도 끝나고, 날씨도 예술이고... 일찍 끝났는데 뭐 재밌는 거 없나?",The examination is over the atmospheric condition is art I finish up early is there anything interesting,0.608417,0.624727,0.754819
이거나 널어. ,Or its up,0.554084,0.592554,0.642905
너 양이 많은 걸 보니까 스트레스 너무 많이 받은 거 아니야?,run across that you get a portion didnt you get excessively much strain,0.649306,0.630404,0.731247
정말 오늘은 최악이다. 꿈땜에 그런가?,It rattling constitute the bad today be it because of your ambition,0.536105,0.654211,0.780651
무슨 꿈? ,What pipe dream,0.471881,0.577110,0.791273
