Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
왜 그러냐. 눈치들이 없어.,Why is that There be no notification,0.647579,0.690134,0.704567
대가리 다 털렸습니다. ,Ive experience it all,0.657508,0.704439,0.761864
그 젊은 놈한테? 아이 꼭 내가 나서야 되냐~ ,To that immature cat Do I actually experience to conk out out,0.540084,0.661199,0.794152
홀쭉이한테 연락 좀 해라. ,Please get through me,0.427426,0.706511,0.840880
에이 잠깐만 기다려봐. 칼 내려놓고. ,Wait a mo couch the tongue down,0.458053,0.601987,0.828369
뵙게 되서 영광입니다. ,It is an honor to go out you,0.489132,0.649444,0.778218
저.. 금연인데요. ,I Its no smoke,0.468628,0.604598,0.787507
출발이나 해 임마! 콜록..  ,net ball run short Colo,0.548230,0.547135,0.779321
사람들이 왜 도박을 하냐구요? 글쎄요.. 대부분 스릴 때문에 한다고 하잖아요? 따느냐 잃느냐. 근데 정말 그럴까요? 어느 날 고니가 얘기해 주더라고요. 사람들이 도박을 왜 하는지. ,Why arrange citizenry chance Well you say most of them are thrill correctly Follow or fall back But actually One Clarence Day Connie say me Why citizenry chance,0.520132,0.618584,0.821059
첫패가 뭐예요? ,What be the first paw,0.620347,0.602125,0.677944
1. ,1,0.000000,0.000000,0.000000
뒷패가 바로 사장님 운명이다 이 말씀이에요. 봐요. ,This be what the back shell exist the chief luck catch,0.502044,0.613625,0.796752
사꾸라. ,Sakura,0.524930,0.524930,0.776763
1+3 네끗. 사장님 운명이 네끗이구만. 그런데.. 내가 운명을 바꿉니다. ,13 clean The knob circumstances cost clean By the way I interchange my lot,0.583256,0.645052,0.809044
1땡! 나는 딴 돈에 반만 가져가요. ,1 dong I exclusively subscribe to half the money,0.598158,0.617804,0.685805
반요? ,one-half,0.568391,0.527134,0.759595
너무 싸죠? ,constitute it excessively inexpensive,0.231752,0.568281,0.913986
아닙니다. 헤헤.. ,no Hehe,0.283339,0.549541,0.868897
요쪽 모텔들이 제거고 요쪽 후진 모텔들 가진 놈이 아주 질이 안 좋은 놈이에요. 오늘 한번 부탁드립니다. 아 참.. 제가 듣기에 꾼들은 판 벌이기전에 이거  한번 해야 끗발 붙는다던데... 준비할까요? ,The I with these motel hit and the one with turnabout motels constitute rattling poor Thank you formerly today Ah I get word that the proletarian ingest to do this erstwhile before they deal it,0.519579,0.589652,0.812107
됐어요. ,Thats approve,0.579282,0.507933,0.688250
아~ 애인이 있으신가? ,Ah arrange you experience a fan,0.575957,0.699840,0.781373
고니를 아냐구요? 내가 본 타짜 중에 최고예요. ,You dont know Connie Its the best Ive always image,0.596174,0.625791,0.782252
야 김사장 왜 이렇게 늦었어? 돈 구해오느라 늦었냐? ,Hey why is it and so recently Are you belatedly to keep money,0.596531,0.596531,0.739274
야 이놈아 한강물이 마르면 말랐지 내 돈이 마르냐?,Hey when the Han River live dry my money embody dry,0.478843,0.556248,0.812597
하이구야 끽해야 여관 몇 개 가진 놈이.. ,A guy with a few lodge,0.342712,0.581893,0.869034
오늘은 우리 조카도 칠거야. ,Today we embody conk to toy our niece,0.507514,0.611027,0.786955
어 나도 오늘 우리 조카 데려왔는데. 조카!,Uh I bring in my nephew today nephew,0.486029,0.626896,0.818948
어 좋다. 빨리들 벗고 앉읍시다. 빨리 빨리. ,Uh good Lets contract off and model down speedily speedily,0.609521,0.639538,0.750016
빨리.. 자 돈들 꺼내시고.. 1억씩이죠.. 패 돌아갑니다. 개평 없고 속이기 없고 상한선 없고. 아싸 첫 패 좋고.. 뒷장아 붙어라 붙어라~ 붙었다! ,speedily subscribe to out the money 100 million sound backward No reexamination no deceit no upper terminal point Ah the first hand represent good,0.565627,0.642122,0.789253
5천. ,5000,0.000000,0.000000,0.000000
첫판부터? 삼촌 오늘 저 말리지 마세요. 5천 받아. ,From the first variation Uncle Dont dry out me today postulate 5000,0.565730,0.599060,0.738070
합이 1억. ,The heart be 100 million,0.435501,0.689279,0.818340
아니 아니 말리지마세요. 1억 받아. ,No no dont dry ask 100 million,0.534790,0.615361,0.781249
다섯끗밖에 안돼? ,just five,0.445245,0.699151,0.848229
.. 음...  ,considerably,0.288415,0.714264,0.908111
오늘은 운이 안좋으셔서. ,Im not therefore lucky today,0.600467,0.600467,0.713454
간만 본건데.. 저 인간..  타짭니다. ,Ive just encounter the liver that human tan,0.651319,0.628062,0.727146
크크크 타짜를 데리고 와도 나한텐 안돼. 내일은 화투패 하나 만들어오세요. ,I pitch act it to me yet if I contribute a kirk tajja Please reach a fight for tomorrow,0.568416,0.582014,0.775187
어떻게?,how,0.262999,0.448712,0.711514
이렇게 1.3.5.7.9 순서로. ,In this parliamentary procedure 13579,0.685435,0.685435,0.746957
1.3.5.7.9.. ,13579,0.000000,0.000000,0.000000
"내일 막판에 저놈이 5땡을 잡고 내가 7땡을 잡을 겁니다. 내가 신호주면, 슬쩍 술을 흘리시고, 그때 준비해둔 탄으로 싹~ 바꿔서 수채구멍에 숨기면.. ",At the destruction of the daytime that cat will capture 5 Transportation and I will bewitch 7 dots If I break a signal I teem a drink and then move around it into a prepared hummer and veil it in the sink jam,0.630053,0.631340,0.766804
1억 밀어넣고.,Push 100 million,0.587863,0.750799,0.720551
막판 하지 뭐. 올인. ,Last moment Allin,0.499257,0.573818,0.786989
올인 콜. ,Allin call,0.795363,0.795363,0.834585
7땡! ,7 ding,0.565685,0.900000,0.811416
9땡! ,9 ding,0.440377,0.735592,0.911655
컥.,,0.000000,0.000000,0.000000
운좋은 과부 앉아도 오강꼭지고 넘어져도 가지밭이라더니 운 좋네. 막판에 9가 뜨고. ,yet if I sit around down with a lucky widow I equal fortunate to allege that it be an eggplant battleground 9 is on the last instant,0.553123,0.590359,0.798358
내일 한판 더 해. ,dress another binge tomorrow,0.586984,0.572126,0.769126
모텔 또 하나 팔라구? ,Are you betray another motel,0.510690,0.539216,0.709518
"아~ 약속을 지키자니 돈이 울고, 돈을 지키자니 약속이 울고. 캬~ 담에 봅시다. ",Ah To keep the hope the money will call To keep the hope the hope will call Hey net ball watch it on the wall,0.576476,0.591134,0.724560
5땡으로 만들어준대매 어떻게 그런 실수를?,How do you relieve oneself that misunderstanding,0.625236,0.693856,0.761715
1.3.5.7.9로 느래니까 병신같이 그걸 똑바로 못하고 5랑 9를 바꿔놔? ,Its slow to 13579 so you slant tidy it like an shit,0.450972,0.636145,0.890681
1.3.9.7.5.? 아~ ,13975 Oh,0.057735,0.479554,0.940439
에이. 재수없게. ,a luckless,0.621741,0.782456,0.757256
꽃 좀 칩디다. ,Its a short flowery,0.587354,0.587354,0.738540
우리집 화단에 꽃이 없어서 마음속에 꽃 한 송이 넣어 다니지요. ,There are no flush in my bloom know therefore I arrange a heyday in my core,0.530166,0.583683,0.775652
어떻게 넌 항상 늦냐? ,How represent you invariably late,0.502692,0.626028,0.732785
좁아. 절로 가. ,Narrow disco biscuit to clause,0.470655,0.660570,0.841160
거기서 약속이 있다 그러면 어떻게 해? 며칠 더 해야지. ,There be an appointee there I stimulate to make out a few more than Clarence Day,0.589055,0.672052,0.752147
약속도 있고. 홀쭉이 차 모는 기사애가 눈치 깐 것 같더라고. ,I cause an appointment I look to experience discover a device driver get a auto,0.600871,0.646839,0.751338
그걸 어떻게 알아? ,How practice you be intimate that,0.425770,0.651899,0.774433
요것들이 남에 동네 와서 장난질이야. 피 볼래? 돈 놓고 갈래? ,These things get along to the locality and work around Do you need parentage Would you like to get out money,0.551784,0.653400,0.787909
나 먼저 탈게. 고니야! ,complaint mount first off Connie,0.622078,0.670296,0.740571
응. ,Huh,0.539445,0.539445,0.476177
빨리 끝내라. 자식들 돈이 인생의 전부가 아닌데 거 참. ,destruction speedily Childrens money be not everything in lifespan,0.677327,0.670858,0.746661
벌써 끝났어? ,Are you get along already,0.572521,0.705653,0.800513
튀어요. ,leaping,0.544886,0.572484,0.748813
돈이 인생의 전부가 아니다?,Money be not everything in life sentence,0.547376,0.635788,0.770003
틀린 말은 아니잖아.,Its not wrong,0.575036,0.644671,0.872811
그건 부자들이나 하는 얘기지. 크크,Thats what rich people articulate haha,0.624146,0.630325,0.742791
크크크.. 근데 무슨 약속? ,Kkek But what hope,0.536763,0.722035,0.830044
... 사람 하나 죽여야 돼. ,I experience to stamp out one individual,0.435815,0.582317,0.827007
고니야! 너도 가자. ,Connie Lets conk excessively,0.624470,0.673573,0.769098
가서 드세요. ,disco biscuit eat,0.555277,0.665950,0.741938
놔둬. 쟤 주머니에 한번 돈 들어가면 안 나오는 애야. ,leave behind it He doesnt do out of his pouch formerly,0.517559,0.555482,0.758722
고니야! 사장님이 박카스 두박스만 사오란다. ,Connie The chief just buy two loge of Bacchus,0.547356,0.654710,0.813300
예. ,Yes,0.701027,0.952860,0.693569
퇴근해.,I allow for oeuvre,0.553661,0.621331,0.760942
예. ,Yes,0.701027,0.952860,0.693569
왜 너도 치게? ,Why represent you score,0.518355,0.547009,0.843465
아~뇨. 싱숭생숭해서 구경이나 하다 갈라구. ,Ahno Im so happy so Im watching,0.423278,0.617128,0.851611
얌마 일끝나면 공부해서 대학이라도 가야지 젊은 놈이. ,You should read and work to college when youre execute,0.523943,0.638428,0.841122
"에이 춘재형, 대학졸업해서 돈 벌던 시대는 갔어요. ",A Chun Jaehyung the era of earn money by fine-tune from college represent conk out,0.554509,0.654361,0.756937
돈 있으면 앉든가. ,If you get money sit around down,0.571818,0.691794,0.783490
껴도 돼요? ,Can I fag it,0.686135,0.670848,0.665672
너 화투 칠줄 아냐? ,Are you not good at struggle,0.490492,0.581561,0.779156
아따! 밑도 못딱음서 똥 싸러 왔을까봐? ,Ah Maybe its hard to go down and issue forth over to make,0.594660,0.613850,0.744890
섯다! 두장의 숫자를 합쳐 그 끗수로 겨루는 거잖아요. ,Seotda Youre compete with the identification number by merge the two identification number,0.509226,0.645898,0.775357
다 잃었어? 얼마나 잃은거야? ,Are you fall behind How much are you miss,0.509778,0.494983,0.693848
몰라요. ,I do not know,0.488693,0.585267,0.795438
미친년 널뛰듯이 막 질러대니까 그러지. ,Its because Im just call like a crazy squawk,0.604939,0.687059,0.793663
어이!  해장국이라도 한 그릇 사먹고 들어가. ,Hey eve Haejangguk eat a sports stadium,0.609119,0.584544,0.802977
삼년동안 모은 돈을 잃었을때 고니는 문득 혼자라는 느낌이 들었대요. 하지만 어떡하겠어요? 모두 겪는 일인데. ,When I lose my money for three age Connie short feel like I be solo But what would you arrange Its all blend in through,0.514976,0.621187,0.825157
회사 안가냐? ,Arent you choke to knead,0.459212,0.543187,0.827691
몰라 짜증나. 그리고 가구창고도 회사냐? ,I dont know And be the furniture warehouse a caller,0.497557,0.596184,0.785916
이 새끼 삼촌한테 반말하고.  누나! 누나! ,Im speak to this uncle sis sis,0.522372,0.609867,0.790163
"젊은 놈이 가고 싶으면 가고, 안가고 싶으면 안가고. 때려쳐. ",If a immature cat need to go go if he doesnt require to go musical rhythm it,0.490403,0.578319,0.755787
때려쳐. ,Beat it,0.675455,0.790043,0.730778
아이~ 거 얼마 번다고.. ,nestling How many fourth dimension,0.517216,0.560131,0.793492
오늘 술 쳐먹지 말고 일찍 들어와. 누나 온다고 했으니까. ,Dont booze today make out in early I sound out that you personify fall,0.612658,0.637203,0.768122
현정이가 얼마나 갖고 올래나. ,How long will Hyunjung add,0.472049,0.642690,0.824416
신경꺼. ,ne'er thinker,0.690617,0.735158,0.698210
사장님! 좀 땄어요?,knob Did you go some,0.652993,0.680984,0.771974
에이. ,a,0.707107,0.858579,0.403852
합천에서 왔다는 양반은요?,What be you tell from Hapcheon,0.478109,0.532286,0.754144
박무석이? 걔도 어제만 천만원정도 잃었지. 오늘 판 커질거야. ,Park Moosuk He too miss 10 million won yesterday It will constitute big today,0.633560,0.674439,0.767343
사장님도 붙을 거예요? ,Will the boss also gravel,0.510801,0.540069,0.704586
인생은 타이밍이야. 끗발만 붙어주면 하룻밤에 인생 바뀌는거지. 너는? ,Life is clock If you lay on but a few invertebrate foot your life history will interchange overnight you constitute,0.613347,0.646550,0.762855
먹고 죽을 돈도 없어요. ,No money to rust and go,0.422204,0.521747,0.788395
고니야! 많이 힘들지? ,Connie Isnt it concentrated,0.661909,0.666099,0.781993
어디 가? ,Where,0.330740,0.514754,0.685638
매형 산소. ,burying O,0.661183,0.624576,0.776888
너는 어디 가지 말고 집 좀 봐라. 집에 돈 있으니까. ,make out not choke anyplace facial expression at the planetary house I get money at dwelling house,0.484005,0.641057,0.806420
무슨 돈? ,What money,0.545313,0.638561,0.665454
누나 위자료다. 장사밑천! 고니야 갔다 와서 우리끼리 사업구상 좀 하자~,My sister be alimony business organization Lets break down to Konya and net ball make job musical theme between us,0.504312,0.582393,0.808323
