Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
잠깐만......,Wait a min,0.448472,0.512449,0.815351
마지막으로 묻고 싶은 게 있어요. 이름이... 뭐에요? 이름이 뭐냐구요~!! ,Last thing I want to ask What exist your name What follow your name,0.548070,0.627883,0.770434
1막은 엘리베이션 등장이니까 위치에 정확하게 서주세요. ,turn 1 embody the visual aspect of an elevator so please viewpoint in the correct situation,0.525368,0.623891,0.773761
걔가 누군데? 없는 애를 있다 치라는 거야? ,Who is she Are you enunciate you get a missing kid,0.635236,0.672801,0.785737
"아이, 또 왜 이러세요. ",kid why equal you get along this again,0.408784,0.650327,0.848431
"그 말을 믿니? 꼬꼬마, 자기 무대감독 맞아? ",act you believe that Little nipper cost you the microscope stage manager right,0.462650,0.600322,0.821557
꼬꼬마가 뭐예요? ,What equal a minor,0.497977,0.485587,0.768999
"몰라도 돼, 이 자식아!  왜?",You dont demand to jazz kid Why,0.576151,0.616338,0.789933
채리 도착했대요. 차에서 옷만 갈아입고 온다거든요. ,Charry get get I merely change dress in the railway car,0.502951,0.643567,0.790564
자. 자. 전주 4마디 전부터 시작합니다. ,fictional character fictional character It lead off 4 calendar week ago,0.525123,0.631455,0.821917
"좀, 쉬자.  기다렸단 듯 시작하는 거, 좀 그렇잖아? ",choose a good luck get like youve cost look isnt it,0.629271,0.724083,0.783262
　십 분 브레이크. ,gap 10 minutes,0.637228,0.774302,0.737374
"아, 꼬꼬마 아니, 감독님.  나, 라떼 땡기는데... ",Oh no kid director Im drive latte,0.458277,0.649515,0.837518
그럼요. ,of class,0.651581,0.636612,0.521507
열라 뜨거운 라떼요. ,receptive hot latte,0.692362,0.629512,0.741707
작업복도 잘 어울리네요. ,The study clothes attend good excessively,0.649109,0.637177,0.769051
네?  ! ,Yeah,1.000000,1.000000,0.843826
여기서 뭐 하세요?  저희 약속 했었......어요? ,What exist you manage hither We call manage you,0.611715,0.625649,0.745027
네.  아니요. 오늘은 아니에요. ,Yes no Not today,0.595098,0.744159,0.849378
그러니까요. 오늘 비행인 줄 알았는데...,Because it constitute I recollect it represent a flying today,0.539317,0.682156,0.795499
"바쁜데 왔죠, 제가?",Im busy exist I,0.537993,0.569667,0.768616
5분 있어요. ,I birth 5 instant,0.652711,0.721539,0.747236
저도 10분밖에 없어요.  ,I simply induce 10 min,0.574219,0.558142,0.802820
"응, 우형아... 그래, 갈게... ",Yes Woohyun Yes Ill conk,0.717371,0.717371,0.757878
떠나기 전에 주고 가고 싶어서 왔어요. 영화 ‘티파니에서 아침을’ 좋아한댔죠?,I descend because I desire to yield it before I depart You tell you liked the motion picture morning time at Tiffany,0.591874,0.603405,0.782232
티파니... 오드리 햅번...  나랑은 안 어울려요. ,Tiffany Audrey Hepburn It doesnt courting me,0.647658,0.692685,0.747852
"껴 보면, 알게 되겠죠. ",Cuddle youll know,0.453481,0.661573,0.890550
전에도 말했지만 전 아직...,I tell it before but I still,0.581046,0.637878,0.819337
