아야 ~ ,Ouch ~,0.599990
뭐가 웃겨 이것들아 아파죽겠는데...,What's funny is that these things will hurt ...,0.612431
괜찮아? 어디 봐?,OK? Where do you look?,0.536795
아 ~ 괜찮아 ,Ah ~ it's okay,0.578255
이구 이 덜렁아 ~ 지진 나는 줄 알았다. ,I think this is a sloppy ~ earthquake.,0.608724
하~ 꿈꿨어 .... 하 뭐 이런 꿈을 꾸지?,Ha ~ I had a dream .... ha What are you dreaming like?,0.667514
이 빨갱이들.. 하필이면 시험 마지막 날 쳐들어오고 있어. 명효야! 그거 하나만 .... ,These reds ... They're coming in on the last day of the exam. Myeonghyo! That's only one ....,0.584217
웬 양이 이렇게 많아? ,How many are there?,0.524469
이게 진짜 죽을래? 이거나 도와줘 ,Will this really die? Or help me,0.549499
아 배야 아~ 어제 라면 먹지 말걸. 명효야 이것 좀 걷어서 세면장으로 와 .  아~,"Ah, my stomach ah ~ Don't eat ramen yesterday. Myeong-hyo, come walk to the toilet. Oh~",0.585605
아 똥.... 야 좀 빨리 나와 . 아아 !!,"Oh shit ... Hey, come out a little faster. Ah !!",0.579297
누가 이나 좀 도와줘라. 오늘 빨갱이 쳐들어와서 신경이 예민하시다. ㅎㅎ,"Someone help me. Today, red pepper comes in and is nervous. hehe",0.509546
이명효.. 너 볼일 보고나서 두고 봐 죽었어....,"Lee Myeong-hyo .. After seeing your work, I left you dead ...",0.485141
너 그러다 싸겠다. ,You will be cheap.,0.549304
야!,Hey!,0.401803
응 영양제 먹었어. 엄마. 응 알았어... ,"Yes, I took a nutritional supplement. Mom. yea, I got it...",0.582819
전화 좀 나가서 받을래?,Would you like to go out and answer the phone?,0.588970
엄마 끊어  남 상관 말고 니 할일이나 해,"Don't care about your mom, do your job",0.504375
여기 너 혼자만 있어? 신경 쓰이니까 나가서 전화 하라구 . ,"Are you alone here? I'm worried, so go out and call me.",0.481784
엄마 없는 건 니 사정이지 나한테 왜 그래,"It's your situation without a mother, why do you do that to me",0.652158
뭐 이 새끼야? ,What is this kid?,0.719160
강이나 좀 조용히 하자. 공부하는 사람들 있잖아 ... ,Let the river be quiet. There are people who study ...,0.582084
입에 금수저 물고 난 자제분들 이라고 서로 편먹는 거니 너 네들.... ,Are you guys complaining to me that I'm a child who has a gold spoon in my mouth?,0.599767
말이 좀 심하다.,I'm a little speechless.,0.610433
엄마 놓고 이상한 소리 해댄 건 니들이야,It's you who made a strange noise over your mother.,0.568330
내가 언제 엄마를 걸고 넘어졌니? ,When did I fall on my mother?,0.485899
학교에서는 엘리트 행세 다 하고 다니면서 니들끼리 이상한 말 퍼트리고 다니는 거 ,"At school, you're all elite, spreading strange words among yourself.",0.517878
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,Do some hiding. Ugly ... It's true that you don't have a mother.,0.577014
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,"Since these are punished even by the teachers, there is nothing to lose!",0.687547
그거야 능력이지... ,That's the ability ...,0.674567
