Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
어? 저 사람 또 왔네..?,uh equal he here once again,0.518986,0.550173,0.731909
누구요?,Who is it,0.607739,0.607739,0.768698
미치겠네 진짜... 세워봐.,Its crazy Really rack up,0.634314,0.611606,0.771217
예?,Yes,0.701027,0.952860,0.693569
차 세워보라고!,hold back the auto,0.671466,0.671466,0.761863
감사합니다...,Thank you,0.428527,0.602868,0.812613
어떻게.. 들어가서 얘기하시죠..,How practice you work in and peach,0.594320,0.601661,0.733208
아니요.. 괜찮아요.. 여기가 좋은데요... 그냥 몇 가지만 여쭈어 보려고 온 거니까..,No Its okey I like it here I but do to necessitate a few interrogation,0.544576,0.624807,0.806390
예... 그러세요..,Yes yes,0.675747,0.765905,0.802294
어떻게 장례는 잘 치렀죠?,How practice you get a good funeral,0.661144,0.661144,0.713506
예..,Yes,0.701027,0.952860,0.693569
저도 한번 가보려고 했는데.. 최근들어 계속 사건이 많다 보니까..,I judge to go there also late there own represent many incident,0.562390,0.627724,0.804815
수사는 완전히 종결이 된 건가요?,Is the investigation completely over,0.598885,0.697043,0.757356
예?,Yes,0.701027,0.952860,0.693569
수사는 종결 된 건가요?,Is the investigation over,0.582980,0.715468,0.753253
"... 예, 뭐 전화로 말씀드렸다시피...",Yes as I tell on the sound,0.476930,0.627674,0.862882
잘 납득이 안가네요. 제대로 밝혀진 것도 없는데.,Im not really convinced nada experience been let out decent,0.713990,0.713990,0.744934
"아니, 납득이 안 가다니요...? 저도... 아버님 입장 충분히 이해가 갑니다. 보통 자식이 그런 일을 당하면 모든 부모님들, 아버님하고 똑같이 이렇게 납득을 못하세요. 이해 갑니다. 근데 아드님 일이 심적인 문제에서 비롯된 건데... 저희가 그 심리를 어떻게 알겠어요... 그렇잖아요?",No you dont understand I I understand my male parent berth usually when a tike cause such a matter he live not convert like all parents and don I understand But your sons occupation do from a psychological job how do we acknowledge the psychological science right wing,0.556814,0.608137,0.797670
그래도 뭔가 구체적인 이유가 있을 거 아닙니까?,personify there any specific reason for that,0.512941,0.583708,0.770130
